Name,Age,Sex,Size,Color,Characteristics,Coat Length,House Trained,Health,State,Email,Phone,Profile
Big Mac,Kitten,Male,Medium,Tabby (Brown / Chocolate),"Affectionate, Curious, Friendly, Playful, Funny, Sweet, Cuddly, Snuggly, Lap Cat",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/big-mac-73830127/md/hyattsville/a-cats-life-rescue-md492/
Dennis & Illara,Kitten,Male,Medium,Tabby (Brown / Chocolate),"Affectionate, Curious, Friendly, Playful, Loves, Gentle, Funny, Lap Cat, Snuggly, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/dennis-illara-73829683/md/hyattsville/a-cats-life-rescue-md492/
Palomina,Adult,Male,Medium,Gray / Blue / Silver,"Affectionate, Gentle, Funny, Curious, Playful",Medium,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/palomina-73819243/md/hyattsville/a-cats-life-rescue-md492/
Honey & Buttercup,Adult,Female,Medium,Black & White / Tuxedo,"Affectionate, Brave, Friendly, Gentle, Quiet, Independent",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/honey-buttercup-73755494/md/hyattsville/a-cats-life-rescue-md492/
Boo & Fangs,Kitten,Female,Medium,Black & White / Tuxedo,"Affectionate, Friendly, Brave, Funny, Independent, Gentle, Playful",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/boo-fangs-73752390/md/hyattsville/a-cats-life-rescue-md492/
Oreo,Young,Female,Medium,Black & White / Tuxedo,"Gentle, Sweet, Calm, Relaxed",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/oreo-73752089/md/hyattsville/a-cats-life-rescue-md492/
Pluto,Adult,Male,Medium,Black,"Affectionate, Friendly, Curious, Brave, Gentle, Funny, Loves, Playful, Snuggly, Cuddly, Lap Cat",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/pluto-73730256/md/hyattsville/a-cats-life-rescue-md492/
Hamster,Kitten,Male,Medium,Black & White / Tuxedo,"Affectionate, Curious, Friendly, Playful, Funny, Snuggly, Cuddly, Lap Cat",Medium,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/hamster-73730103/md/hyattsville/a-cats-life-rescue-md492/
Puzzle Piece,Young,Female,Medium,Dilute Tortoiseshell,"Curious, Sweet, Chill, Gentle",Short,Yes,Spayed / neutered.,"Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/puzzle-piece-73729743/md/hyattsville/a-cats-life-rescue-md492/
Clover,Adult,Female,Medium,Orange & White,"Affectionate, Brave, Friendly, Protective, Gentle, Independent, Playful, Quiet, Sweet",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/clover-73725972/md/hyattsville/a-cats-life-rescue-md492/
Cookie,Kitten,Female,Medium,Black,"Affectionate, Athletic, Curious, Friendly, Funny, Gentle, Playful",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/cookie-73725854/md/hyattsville/a-cats-life-rescue-md492/
Odyssey,Adult,Female,Medium,Tabby (Brown / Chocolate),"Affectionate, Curious, Friendly, Playful, Gentle, Loving",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/odyssey-73596834/md/hyattsville/a-cats-life-rescue-md492/
Precious,Adult,Female,Medium,Black,"Affectionate, Brave, Friendly, Playful, Loves, Gentle, Funny",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/precious-73690631/md/hyattsville/a-cats-life-rescue-md492/
Frozone Frosty & Blizzard,Kitten,Male,Medium,Black & White / Tuxedo,"Affectionate, Curious, Friendly, Playful, Funny, Brave, Confident, Cuddly, Snuggly, Lap Cat",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/frozone-frosty-blizzard-73678359/md/hyattsville/a-cats-life-rescue-md492/
Lavender and Pinkie,Kitten,Female,Medium,Black,"Playful, Friendly, Curious, Affectionate, Funny, Gentle, Independent",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/lavender-and-pinkie-73582481/md/hyattsville/a-cats-life-rescue-md492/
John & George,Kitten,Male,Medium,Gray / Blue / Silver,,Medium,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/john-george-73507411/md/hyattsville/a-cats-life-rescue-md492/
Lightning McFlurry,Kitten,Male,Medium,Black & White / Tuxedo,,Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/lightning-mcflurry-73494146/md/hyattsville/a-cats-life-rescue-md492/
Rey,Adult,Female,Medium,Gray & White,"Affectionate, Brave, Friendly, Playful, Loyal, Gentle, Curious, Loves",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/rey-73418914/md/hyattsville/a-cats-life-rescue-md492/
Douglas,Young,Male,Medium,Tabby (Gray / Blue / Silver),"Affectionate, Athletic, Curious, Friendly, Funny, Gentle, Playful, Loves, Cuddly, Snuggly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/douglas-73362327/md/hyattsville/a-cats-life-rescue-md492/
Banana,Kitten,Male,Medium,Black,"Affectionate, Brave, Curious, Friendly, Funny, Playful, Gentle",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/banana-73256960/md/hyattsville/a-cats-life-rescue-md492/
Amy & Bernadette,Kitten,Female,Medium,Black & White / Tuxedo,"Affectionate, Athletic, Curious, Friendly, Funny, Playful, Gentle",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/amy-bernadette-73256741/md/hyattsville/a-cats-life-rescue-md492/
Liam,Kitten,Male,Medium,Black & White / Tuxedo,"Affectionate, Curious, Friendly, Gentle, Funny, Playful",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/liam-73213061/md/hyattsville/a-cats-life-rescue-md492/
London,Adult,Female,Medium,Gray & White,"Affectionate, Brave, Friendly, Gentle, Quiet, Independent",Long,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/london-73172067/md/hyattsville/a-cats-life-rescue-md492/
Frankie and Rose,Kitten,Female,Medium,Black,"Affectionate, Friendly, Smart, Brave, Playful, Cuddle Bug, Loves Kisses, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/frankie-and-rose-73149005/md/hyattsville/a-cats-life-rescue-md492/
Hazel & Juniper,Young,Female,Medium,Black & White / Tuxedo,"Affectionate, Brave, Curious, Friendly, Gentle, Playful, Funny",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/hazel-juniper-73041469/md/hyattsville/a-cats-life-rescue-md492/
Toby Beans,Kitten,Male,Medium,Tabby (Gray / Blue / Silver),"Affectionate, Curious, Gentle, Playful",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/toby-beans-73041367/md/hyattsville/a-cats-life-rescue-md492/
Tiny Baby,Kitten,Female,Medium,Tabby (Gray / Blue / Silver),,Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/tiny-baby-73041290/md/hyattsville/a-cats-life-rescue-md492/
Millie,Adult,Female,Medium,Tabby (Brown / Chocolate),"Affectionate, Brave, Curious, Dignified, Friendly, Funny, Gentle, Loves, Loyal, Playful, Smart",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/millie-72691249/md/hyattsville/a-cats-life-rescue-md492/
Lotus,Adult,Female,Medium,Tabby (Tiger Striped),"Affectionate, Athletic, Brave, Curious, Gentle, Playful, Independent",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/lotus-72320635/md/hyattsville/a-cats-life-rescue-md492/
"Star, Shadow, & Slate",Kitten,Male,Medium,Gray & White,"Affectionate, Brave, Curious, Playful, Funny, Friendly, Gentle, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/star-shadow-slate-72269091/md/hyattsville/a-cats-life-rescue-md492/
Tuxedo Kitties!,Kitten,Male,Medium,Black & White / Tuxedo,"Affectionate, Brave, Curious, Friendly, Funny, Gentle, Loves, Playful, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/tuxedo-kitties-72268905/md/hyattsville/a-cats-life-rescue-md492/
Puma,Adult,Female,Medium,Black,,Short,Yes,"Vaccinations up to date, spayed / neutered.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/puma-71880292/md/hyattsville/a-cats-life-rescue-md492/
Wobbert & Spice,Young,Male,Medium,Tabby (Brown / Chocolate),"Curious, Friendly, Funny, Gentle, Playful",Short,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Hyattsville, MD",adoption@acatsliferescue.org,+17039696859,https://www.petfinder.com/cat/wobbert-spice-69219697/md/hyattsville/a-cats-life-rescue-md492/
Leo,Adult,Male,Small,White,,,,Vaccinations up to date.,"Alexandria, VA",,+17039696859,https://www.petfinder.com/cat/leo-73810294/va/alexandria/animal-welfare-league-of-alexandria-va230/
Estelle,Young,Female,Small,Black,,,,Vaccinations up to date.,"Alexandria, VA",info@alexandriaanimals.org,+17039696859,https://www.petfinder.com/cat/estelle-73810292/va/alexandria/animal-welfare-league-of-alexandria-va230/
Ivy,Adult,Female,Small,Black,,,,Vaccinations up to date.,"Alexandria, VA",info@alexandriaanimals.org,+17039696859,https://www.petfinder.com/cat/ivy-73810293/va/alexandria/animal-welfare-league-of-alexandria-va230/
Winston,Senior,Male,Small,,,,,Vaccinations up to date.,"Alexandria, VA",info@alexandriaanimals.org,+17039696859,https://www.petfinder.com/cat/winston-73810300/va/alexandria/animal-welfare-league-of-alexandria-va230/
Evander,Adult,Male,Small,Gray / Blue / Silver,,,,Vaccinations up to date.,"Alexandria, VA",info@alexandriaanimals.org,+17039696859,https://www.petfinder.com/cat/evander-73810303/va/alexandria/animal-welfare-league-of-alexandria-va230/
Joelle,Adult,Female,Small,White,,,,Vaccinations up to date.,"Alexandria, VA",info@alexandriaanimals.org,+17039696859,https://www.petfinder.com/cat/joelle-73810310/va/alexandria/animal-welfare-league-of-alexandria-va230/
Ness,Adult,Female,Small,,,,,Vaccinations up to date.,"Alexandria, VA",info@alexandriaanimals.org,+17039696859,https://www.petfinder.com/cat/ness-73810313/va/alexandria/animal-welfare-league-of-alexandria-va230/
Ember,Kitten,Female,Small,Gray & White,,Medium,Yes,"Vaccinations up to date, spayed / neutered.","Bethesda, MD",,+17039696859,https://www.petfinder.com/cat/ember-73786887/md/bethesda/a-home-of-their-own-animal-rescue-md557/
Salem,Kitten,Male,Small,Black,,Short,Yes,"Vaccinations up to date, spayed / neutered.","Bethesda, MD",,+17039696859,https://www.petfinder.com/cat/salem-73786888/md/bethesda/a-home-of-their-own-animal-rescue-md557/
Ash,Kitten,Female,Small,Gray / Blue / Silver,,Short,Yes,"Vaccinations up to date, spayed / neutered.","Bethesda, MD",,+17039696859,https://www.petfinder.com/cat/ash-73786889/md/bethesda/a-home-of-their-own-animal-rescue-md557/
Huxley -the Loving Playful Boy!,Adult,Male,Medium,White,"Friendly, Affectionate, Playful, Couch potato, Loves Kisses, Gentle, Smart, Funny, Cuddles, Curious",Short,Yes,"Vaccinations up to date, spayed / neutered.","Landover Hills, MD",rogarcia58@yahoo.com,+17039696859,https://www.petfinder.com/cat/huxley-the-loving-playful-boy-71563902/md/landover-hills/texas-canine-rescue-tx2448/
Ramona - Precious loving girl!,Adult,Female,Large,Tabby (Gray / Blue / Silver),"Friendly, Affectionate, Loyal, Gentle, Playful, Curious, Couch potato, Loves Kisses, Snuggles, Loving",Short,Yes,"Vaccinations up to date, spayed / neutered.","Landover Hills, MD",rogarcia58@yahoo.com,+17039696859,https://www.petfinder.com/cat/ramona-precious-loving-girl-71510478/md/landover-hills/texas-canine-rescue-tx2448/
KitKat,Adult,Female,Medium,,"Affectionate, Couch, Curious, Friendly, Funny, Playful, Loves",,Yes,"Vaccinations up to date, spayed / neutered.","Bethesda, MD",,+17039696859,https://www.petfinder.com/cat/kitkat-72876131/md/bethesda/saint-mutts-rescue-tx2601/
Isis,Young,Female,Medium,Tabby (Buff / Tan / Fawn),"Friendly, Affectionate, Gentle, Playful, Curious, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/isis-73684537/va/alexandria/animal-allies-va72/
Penny,Young,Female,Medium,Gray / Blue / Silver,"Friendly, Affectionate, Gentle, Playful, Curious, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/penny-73418958/va/alexandria/animal-allies-va72/
Alice,Kitten,Female,Small,Gray / Blue / Silver,"Affectionate, Athletic, Curious, Friendly, Gentle, Loyal, Playful, Smart, Cuddly, Loves",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/alice-73379875/va/alexandria/animal-allies-va72/
Aubrey,Kitten,Female,Small,Black,"Affectionate, Curious, Friendly, Gentle, Playful, Loyal, Smart, Cuddly, Athletic",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/aubrey-73379759/va/alexandria/animal-allies-va72/
Shirley,Kitten,Female,Small,Black,"Friendly, Affectionate, Gentle, Playful, Curious, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/shirley-73269588/va/alexandria/animal-allies-va72/
Butter Bean,Kitten,Male,Small,Buff / Tan / Fawn,"Friendly, Affectionate, Gentle, Playful, Curious, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/butter-bean-73269569/va/alexandria/animal-allies-va72/
Dottie,Young,Female,Small,Black & White / Tuxedo,,Short,,,"Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/dottie-73125837/va/alexandria/animal-allies-va72/
Sven,Kitten,Male,Small,Black & White / Tuxedo,"Friendly, Affectionate, Gentle, Playful, Curious, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/sven-72920158/va/alexandria/animal-allies-va72/
Ziggy,Kitten,Male,Small,,"Friendly, Affectionate, Gentle, Playful, Curious, Cuddly",,,,"Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/ziggy-72860940/va/alexandria/animal-allies-va72/
Willie,Adult,Male,Medium,Black & White / Tuxedo,"Friendly, Affectionate, Gentle, Playful, Curious, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/willie-72227903/va/alexandria/animal-allies-va72/
Toupee,Young,Male,Medium,Black & White / Tuxedo,"Friendly, Affectionate, Gentle, Playful, Curious, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",,+17039696859,https://www.petfinder.com/cat/toupee-71566551/va/alexandria/animal-allies-va72/
Sheryl Crow,Adult,Female,Medium,Black & White / Tuxedo,"Friendly, Affectionate, Gentle, Playful, Curious, Cuddly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/sheryl-crow-71271310/va/alexandria/animal-allies-va72/
Rose and Daisy,Young,Female,Medium,Black & White / Tuxedo,"Gentle, Quiet, Independent",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/rose-and-daisy-59321011/va/alexandria/animal-allies-va72/
Axil,Young,Male,Medium,Tabby (Gray / Blue / Silver),"Friendly, Affectionate, Gentle, Playful, Curious",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",adoption@animalalliesva.org,+17039696859,https://www.petfinder.com/cat/axil-58846066/va/alexandria/animal-allies-va72/
Teddy,Young,Male,Medium,Black & White / Tuxedo,"Friendly, Affectionate, Playful",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",,+17039696859,https://www.petfinder.com/cat/teddy-53244046/va/alexandria/animal-allies-va72/
Miyuki,Adult,Female,Medium,Tabby (Gray / Blue / Silver),"Curious, Friendly, Quiet, Gentle, Affectionate",Short,Yes,"Vaccinations up to date, spayed / neutered.","College Park, MD",,+17039696859,https://www.petfinder.com/cat/miyuki-73377640/md/college-park/city-of-college-park-animal-control-md172/
Miles,Young,Male,Medium,,"Affectionate, Friendly, Playful, Curious, Smart",Short,Yes,"Vaccinations up to date, spayed / neutered.","Alexandria, VA",myraseay2004@yahoo.com,+17039696859,https://www.petfinder.com/cat/miles-69833419/va/alexandria/rescue-feline-voices-va819/
Marcia,Adult,Female,Large,Tabby (Gray / Blue / Silver),,Short,Yes,"Vaccinations up to date, spayed / neutered.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/marcia-73746139/md/garrett-park/rock-creek-cats-md316/
Belle,Adult,Female,Medium,Tabby (Brown / Chocolate),"Curious, Gentle, Quiet",Short,Yes,"Vaccinations up to date, spayed / neutered.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/belle-73619993/md/garrett-park/rock-creek-cats-md316/
Brady,Adult,Male,Large,Tabby (Gray / Blue / Silver),"Affectionate, Brave, Curious, Friendly",Short,Yes,"Vaccinations up to date, spayed / neutered.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/brady-73330731/md/garrett-park/rock-creek-cats-md316/
Addy,Kitten,Female,Medium,Tortoiseshell,"Affectionate, Athletic, Brave, Curious, Friendly, Funny, Independent, Playful, Smart",Short,Yes,"Vaccinations up to date, spayed / neutered.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/addy-72912828/md/garrett-park/rock-creek-cats-md316/
Perry,Adult,Male,Large,Tabby (Brown / Chocolate),"Gentle, Playful, Quiet, Smart",Short,Yes,"Vaccinations up to date, spayed / neutered.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/perry-70387685/md/garrett-park/rock-creek-cats-md316/
Scotty,Adult,Male,Large,,Friendly,Short,Yes,"Vaccinations up to date, spayed / neutered.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/scotty-69736041/md/garrett-park/rock-creek-cats-md316/
Blessing,Adult,Male,Medium,Gray / Blue / Silver,"Friendly, Affectionate, Gentle, Playful, Smart, Funny, Independent, Curious",Short,Yes,"Vaccinations up to date, spayed / neutered.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/blessing-69560013/md/garrett-park/rock-creek-cats-md316/
Murphy,Adult,Male,Large,Tabby (Gray / Blue / Silver),,Short,Yes,"Vaccinations up to date, spayed / neutered.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/murphy-61645506/md/garrett-park/rock-creek-cats-md316/
Pezzy,Adult,Male,Large,Tabby (Brown / Chocolate),"Friendly, Gentle, Funny",Short,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/pezzy-60003900/md/garrett-park/rock-creek-cats-md316/
Decker,Adult,Male,Large,Black & White / Tuxedo,"Gentle, Quiet",Short,Yes,"Vaccinations up to date, spayed / neutered.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/decker-59126124/md/garrett-park/rock-creek-cats-md316/
Barn Cats,Adult,Male,Large,,"Quiet, Independent, , Feral, Dignified",,,"Vaccinations up to date, spayed / neutered.","Garrett Park, MD",,+17039696859,https://www.petfinder.com/cat/barn-cats-24451173/md/garrett-park/rock-creek-cats-md316/
Lucy,Adult,Female,Large,Orange & White,"Affectionate, Athletic, Dignified, Gentle, Independent, Quiet, Smart, Friendly, Loves",Short,Yes,"Vaccinations up to date, spayed / neutered.","Silver Spring , MD",doe.eyes.adoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/lucy-73792019/md/silver-spring/doe-eyes-animal-sanctuary-and-rescue-inc-va855/
Wendy,Kitten,Female,Small,Black,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/wendy-73768171/md/silver-spring/freckles-foundation-animal-rescue-md551/
Rose,Kitten,Female,Small,Black,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/rose-73768172/md/silver-spring/freckles-foundation-animal-rescue-md551/
Rodman,Kitten,Male,Small,Black,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/rodman-73747724/md/silver-spring/freckles-foundation-animal-rescue-md551/
Baci,Kitten,Female,Small,Black,"Good with Cats, Good with Dogs, Good with Kids",,,"Vaccinations up to date, spayed / neutered.","Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/baci-73624217/md/silver-spring/freckles-foundation-animal-rescue-md551/
Leif,Kitten,Male,Small,White,,,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/leif-73556182/md/silver-spring/freckles-foundation-animal-rescue-md551/
Freydis,Kitten,Female,Small,White,,,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/freydis-73556183/md/silver-spring/freckles-foundation-animal-rescue-md551/
Harald,Kitten,Male,Small,White,,,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/harald-73556184/md/silver-spring/freckles-foundation-animal-rescue-md551/
Boots,Kitten,Male,Small,Black,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/boots-73505002/md/silver-spring/freckles-foundation-animal-rescue-md551/
Spot,Kitten,Female,Small,Gray / Blue / Silver,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/spot-73505001/md/silver-spring/freckles-foundation-animal-rescue-md551/
Crowkit,Kitten,Male,Small,Black,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/crowkit-73361052/md/silver-spring/freckles-foundation-animal-rescue-md551/
Fawnkit,Kitten,Female,Small,Black,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/fawnkit-73361053/md/silver-spring/freckles-foundation-animal-rescue-md551/
Buttercup,Young,Male,Small,Orange / Red,"Bonded, Good with Cats, Good with Dogs, Good with Kids",,,"Vaccinations up to date, spayed / neutered.","Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/buttercup-73361054/md/silver-spring/freckles-foundation-animal-rescue-md551/
Pebblekit,Kitten,Male,Small,Gray / Blue / Silver,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/pebblekit-73361055/md/silver-spring/freckles-foundation-animal-rescue-md551/
Foxkit,Kitten,Male,Small,Gray / Blue / Silver,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/foxkit-73361051/md/silver-spring/freckles-foundation-animal-rescue-md551/
Posy,Young,Female,Small,Brown / Chocolate,"Bonded, Good with Cats, Good with Dogs, Good with Kids",,,"Vaccinations up to date, spayed / neutered.","Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/posy-73303003/md/silver-spring/freckles-foundation-animal-rescue-md551/
Tommy,Young,Male,Small,Brown / Chocolate,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,"Vaccinations up to date, spayed / neutered.","Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/tommy-73303001/md/silver-spring/freckles-foundation-animal-rescue-md551/
Tiny,Kitten,Female,Small,Black,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/tiny-73197707/md/silver-spring/freckles-foundation-animal-rescue-md551/
Dodger,Young,Male,Medium,White,"Affectionate, Athletic, Brave, Curious, Friendly, Funny, Loves, Playful, Smart, Loves kisses, Gentle",Short,Yes,"Vaccinations up to date, spayed / neutered.","Silver Spring , MD",doe.eyes.adoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/dodger-73026181/md/silver-spring/doe-eyes-animal-sanctuary-and-rescue-inc-va855/
Jasper,Kitten,Male,Small,Black,"Good with Cats, Good with Dogs, Good with Kids",,,"Vaccinations up to date, spayed / neutered.","Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/jasper-72844573/md/silver-spring/freckles-foundation-animal-rescue-md551/
Onyx,Kitten,Male,Small,Black,"Good with Cats, Good with Dogs, Good with Kids",,,"Vaccinations up to date, spayed / neutered.","Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/onyx-72844574/md/silver-spring/freckles-foundation-animal-rescue-md551/
Opal,Kitten,Female,Small,Black,"Good with Cats, Good with Dogs, Good with Kids, Unaltered kitten",,,Vaccinations up to date.,"Silver Spring, MD",,+17039696859,https://www.petfinder.com/cat/opal-72844575/md/silver-spring/freckles-foundation-animal-rescue-md551/
